date,adoption_index,spi,router_cn_share,vercel_cn_share,hf_cn_share,ollama_cn_share,gh_stars_per_day,price_gap,search_share,apps_score,arena_elo_gap
2026-07-12,60.3,1.699,0.5699,,0.6873,,,,0.01,20,34
2026-07-13,61.8,1.76,0.5919,,0.6874,,,,0.01,20,30
2026-07-14,62.1,1.804,0.5974,,0.6864,,,,0.01,20,30
2026-07-15,62.1,1.839,0.6016,,0.6868,,,,0.01,20,33
2026-07-16,62.9,1.847,0.6021,,0.685,,,,0.01,20,21
2026-07-17,55.6,1.858,0.6014,,0.6846,,57.2,,0.01,20,21
2026-07-18,55.8,1.909,0.6058,,0.685,,58.5,,0.01,20,21
2026-07-19,58.9,1.973,0.6109,0.5003,0.6846,0.3789,,,0.032,10,21
2026-07-20,58.8,2.109,0.6104,0.4987,0.6849,0.3789,,,0.032,10,21
2026-07-21,58.3,1.873,0.5762,0.5245,0.6854,0.3789,,,0.032,7,20
2026-07-22,54.7,1.852,0.5652,0.4141,0.6851,0.3792,,,0.033,3,21
2026-07-23,54.3,1.835,0.5604,0.4125,0.6888,0.3797,,,0.033,0,21
2026-07-24,50.8,1.847,0.5599,0.4918,0.6891,0.3798,59.2,,0.033,0,21
2026-07-25,56.2,1.881,0.5622,0.4835,0.6894,0.3803,,,0.033,0,21
2026-07-26,57.8,1.925,0.5663,0.5433,0.6901,0.3804,,,0.033,0,21
2026-07-27,56.8,2.15,0.5882,0.4792,0.6904,0.3806,,,0.033,0,21
2026-07-28,56.5,2.083,0.5755,0.4744,0.6902,0.381,,,0.033,2,22
2026-07-29,55.1,1.92,0.5537,0.45,0.6901,0.3812,,,0.033,0,22
2026-07-30,56.0,1.824,0.5419,0.4943,0.6915,0.3815,,,0.032,0,22
2026-07-31,48.1,1.712,0.5288,0.4503,0.6915,0.38,35.5,,0.033,0,22
2026-08-01,48.1,1.669,0.5235,0.515,0.6915,0.3801,10.6,,0.033,0,22
2026-08-02,48.5,1.648,0.521,0.5299,0.6933,0.3803,11.8,,0.033,0,22
2026-08-03,47.8,1.438,0.5081,0.4867,0.6944,0.3807,11.8,,0.033,0,13
2026-08-04,59.8,1.488,0.5162,0.4724,0.6949,0.381,253.7,,0.033,0,13
2026-08-05,57.7,1.394,0.5034,0.4795,0.6946,0.3811,214.8,,0.034,0,13
2026-08-06,54.9,1.377,0.5014,0.5105,0.6946,0.3813,145.7,,0.034,0,13
2026-08-07,56.6,1.337,0.4992,0.5625,0.6941,0.3817,156.8,8.29,0.034,0,10
2026-08-08,56.5,1.386,0.5078,0.6102,0.6949,0.3817,129.3,10.0,0.034,0,10
2026-08-09,55.8,1.433,0.516,0.611,0.6953,0.3819,110.9,10.0,0.034,0,10
2026-08-10,54.4,1.702,0.5599,0.5338,0.6973,0.3822,96.2,4.96,0.034,0,10
2026-08-11,64.7,1.838,0.577,0.5332,0.698,0.3823,1687.0,4.96,0.034,0,15
2026-08-12,63.8,1.713,0.5623,0.5065,0.6984,0.3825,653.0,3.81,0.034,0,16
2026-08-13,64.2,1.676,0.5567,0.5282,0.7027,0.3825,445.0,5.14,0.035,0,16
2026-08-14,63.9,1.623,0.5502,0.5162,0.7047,0.3828,64229.7,3.43,0.035,0,16
2026-08-15,62.9,1.419,0.5207,0.4984,0.7057,0.3829,20928.9,5.14,0.035,0,16
2026-08-16,64.1,1.385,0.5162,0.5596,0.706,0.3832,16243.1,5.14,0.035,0,16
